id,value,description,status,catalog_parent_id,created_by,company_id
2000400001,ACT,ACTUALIZACIÓN DE COMERCIOS Y TERMINALES,2000100001,1000000004,1,2
2000400002,CTM,AUTOMATIZACION DE PROCESOS,2000100001,1000000004,1,2
2000400003,CVM,COMPENSACIÓN DE VISA Y MC,2000100001,1000000004,1,2
2000400004,IFO,BASE DE DATOS REQUERIDA PARA ACLARACIONES,2000100001,1000000004,1,2
2000400005,PROALERTA  - FALCON,PREVENCION DE FRAUDES,2000100001,1000000004,1,2
2000400006,PTLF,LOG DE TRANSACCIONES POS (point of sale) punto de venta,2000100001,1000000004,1,2
2000400007,PTLFH,LOG DE TRANSACCIONES POS HISTORICO,2000100001,1000000004,1,2
2000400008,PYW,PAYWARE,2000100001,1000000004,1,2
2000400009,REPORTES UPTIME,REPORTE FUERA DE TIEMPO DE CAJEROS AUTOMÁTICOS,2000100001,1000000004,1,2
2000400010,REPRED / RED WEB,REPORTES RED,2000100001,1000000004,1,2
2000400011,SAC,SISTEMA ADQUIRENTE CARNET,2000100001,1000000004,1,2
2000400012,SICB2,SAC2 (SICB2) SISTEMA ADQUIRENTE CARNET 2   =  PMT,2000100001,1000000004,1,2
2000400013,SAW,SISTEMA DE AUTORIZACIONES WEB,2000100001,1000000004,1,2
2000400014,SCA,SISTEMA DE CARGOS AUTOMÁTICOS,2000100001,1000000004,1,2
2000400015,SCL,SISTEMA CONTABLE DE LIQUIDACIÓN,2000100001,1000000004,1,2
2000400016,SIA,SISTEMA INTEGRAL DE ACLARACIONES,2000100001,1000000004,1,2
2000400017,SIF / SILFACT,SISTEMA DE FACTURACIÓN,2000100001,1000000004,1,2
2000400018,PMT,Payment  y SAC2 ES LO MISMO,2000100001,1000000004,1,2
2000400019,PDF,2 PAGOS DIFERIDOS,2000100001,1000000004,1,2
2000400020,MDT,,2000100001,1000000004,1,2
2000400021,F,FALLAS,2000100001,1000000004,1,2
2000400022,J,FALLAS,2000100001,1000000004,1,2
2000400023,GNR,,2000100001,1000000004,1,2
2000400024,QA BATCH,,2000100001,1000000004,1,2
