p_key|description|company_id|project_manager_id|installation_date|amount|tax|total
T-62-9900-22|Generacion de reportes por modulo en SIA para MIFEL|2|9|2023-01-01|5.00|0.80|5.80
C-20-1809-22|BradesCard, Alta Del Servicio De Lote De Aclaraciones|2|13|2023-01-01|27.39|4.38|31.78
H-62-9865-22|Automatizacion de respaldos para el Producto de Banca|2|14|2023-01-01|15.79|2.53|18.31
N-77-1783-22|Camara MC/Producto CC - Implementacion de MasterCard como Camara de Compensacion Adquirente POS|2|15|2023-01-01|21.04|3.37|24.41
N-77-1972-22|ABM reactivacion del proyecto CASHBACK INTERBANCARIO CAMARA MCC N-77-1366-21|2|10|2023-01-01|28.05|4.49|32.54
C-24-1853-22|Automatizacion del servicio S9005 Transacciones de Cargo Automatico y envio de detalle a cliente|2|11|2023-01-01|37.39|5.98|43.37
A-20-1784-22|FIRST DATA FISERV - ALTA ADQUIRENTE BACKEND E INTEGRACIoN DE OPERATIVAS ISO-AGREGADOR|2|16|2023-01-01|116.28|18.61|134.89
C-24-1653-22|Fase II Facturacion automatica Sigue mi Tarjeta|2|17|2023-01-01|88.57|14.17|102.74
C-20-1828-22|Migracion de Bines de 6 posiciones a 8 Posiciones para Bradescard .|2|18|2023-01-01|275.43|44.07|319.50
C-20-1902-22|LIVERPOOL - HABILITACIoN DEL TOKEN Q6 y MSI PARA TARJETAS SUBURBIA|2|19|2023-01-01|209.78|33.56|243.34
C-20-2097-22|Archivos especiales Camara de Compensacion MC para Banorte|2|20|2023-01-01|279.64|44.74|324.38
C-20-1885-22|EMS OMICRON) Habilitar dolares para el ISO Agregador OMICRON|2|21|2023-01-01|372.75|59.64|432.39
C-20-1970-22|ALTA DE Bin Visa 45178000 para caja popular APASEO DEL ALTO CON FAST FUNDS|2|12|2023-01-01|6879.09|1100.65|7979.74
N/A|Alta de bines tokenizados para Banorte|2|22|2023-01-01|8594.76|1375.16|9969.91
C-20-1617-22|Cambio de razon social Tecnologias Rappi por tarjetas del futuro|2|23|2023-01-01|47728.97|7636.64|42365.61
R-20-2008-2|SUNSETPAY ALTA ISO AGREGADOR|2|21|2023-01-01|20847.04|3335.53|24182.56
P-55-5201-20|Punteo electronico transaccional|2|24|2023-01-01|27789.10|4446.26|32235.36
C-20-1981-22|Migracion de BINES a 8 Posiciones para BANORTE|2|25|2023-01-01|152790.35|24446.45|177236.80
C-20-2068-22|MIFEL- Incorporacion al esquema de Corresponsal es con Oxxo|2|13|2023-01-01|417.57|66.81|484.38
C-20-2007-22|Envio de archivos a Minsait y habilitacion de esquema Hotsite|2|23|2023-01-01|556.62|89.06|645.68
R-20-2090-22|Migracion de Bines de 6 a 8 posiciones|2|26|2023-01-01|741.97|118.72|860.69
C-20-2049-22|Alta de Bin Credito MC en MSI para Oplay Digital Services|2|12|2023-01-01|989.05|158.25|1147.30
C-24-1532-22|Mejora Batch Rechazos en la carretera Oxxo|2|27|2023-01-01|3075.83|492.13|3567.97
C-20-1829-22|SCOTIABANK - Mapeo de valores VRM (VISA) en PROALERTA|2|28|2023-01-01|25.00|4.00|29.00
C-24-1644-22|Extraccion de reportes del SAC|2|29|2023-01-01|77.75|12.44|90.19
C-20-2046-22|Actualizacion de SRE para Bin Visa Adquirente de Pagatodo|2|12|2023-01-01|138.14|22.10|160.25
C-20-2074-22|Banregio: Generacion de nuevos archivos de compensacion|2|30|2023-01-01|245.48|39.27|284.75
A-20-2094-22|Afirme, Alta de Entidad hija para Afirme con el bin 41309841 Debito Visa Internacional con procesador Propio|2|30|2023-01-01|1801.52|288.24|2089.76
A-20-1114-23|AFIRME - Alta de Bin Marca Privada en Intercambio y Alta en servicio de Corresponsalias OXXO|2|30|2023-01-01|3233.94|517.43|3751.38
C-20-2081-22|Banregio, Migracion de Transacciones de Corresponsales de Banregio a Nuevo Autorizador|2|13|2023-01-01|1863.77|298.20|2161.97
R-20-1187-23|Alta de Bin 506488 Debito CARNET, con autorizador propio|2|12|2023-01-01|10210.63|1633.69|11844.33
R-20-1115-23|Alta de Nueva Entidad Emisora con Bin Credito MC con Autorizador|2|23|2023-01-01|24289.81|3886.38|28176.17
C-24-1942-22|Baja- ISO Agregador Pagaphone|2|21|2023-01-01|79.96|12.79|92.75
C-20-2082-22|Multiva, baja de Bienes 6 posiciones|2|12|2023-01-01|690.52|110.47|801.00
A-20-1901-22|ACTINVER - ALTA DE 2 BINES A 8 POSICIONES CON FAST FUNDS|2|12|2023-01-01|2180.20|348.84|2529.03
C-24-1102-23|Automatizacion de Remesas MSI (ALTA/BAJA/CAMBIO DE PROMOCIONES)|2|10|2023-01-01|1062.54|170.01|1232.54
N-77-1157-23|Producto CC/Relaciones Gremiales - Actualizacion modulo VISA en el SIA- Emisores VISA, eliminacion de Segundo Contracargo|2|10|2023-01-01|1416.36|226.62|1642.98
C-24-1347-22|Mejoras a la carretera de Chedraui para discriminar las Txs con rechazo|2|31|2023-01-01|1888.01|302.08|2190.09
